A1CF	rep2_peak_4778 (+2911)
HSCB	rep2_peak_26149 (+5323), rep2_peak_26150 (+18099)
HSD17B11	rep2_peak_30400 (-28391), rep2_peak_30399 (-18254), rep2_peak_30397 (+60)
HSD17B2	rep2_peak_15083 (+15747), rep2_peak_15084 (+21142)
HSD17B4	rep2_peak_32387 (+373)
HSD17B6	rep2_peak_8884 (+7000)
HSDL1	rep2_peak_15113 (+5869)
HSDL2	rep2_peak_41120 (+2725), rep2_peak_41123 (+12328)
HSPA1A	rep2_peak_34167 (+4218)
HSPA1B	rep2_peak_34167 (-8053), rep2_peak_34170 (+25751)
HSPA4	rep2_peak_32538 (-2155)
HSPA6	rep2_peak_2731 (-17996)
HSPB7	rep2_peak_435 (+14694)
HSPD1	rep2_peak_23218 (+53)
HSPE1	rep2_peak_23214 (-18490), rep2_peak_23218 (0)
HSPE1-MOB4	rep2_peak_23218 (-419)
HSPG2	rep2_peak_592 (-9758)
HTR1D	rep2_peak_621 (-28907), rep2_peak_618 (+6885)
HTR3B	rep2_peak_7731 (-5875)
HTR5A	rep2_peak_38254 (-189)
HUNK	rep2_peak_25526 (+27345)
HUS1	rep2_peak_36899 (-10336)
HYAL1	rep2_peak_27589 (-6202)
HYAL2	rep2_peak_27589 (+13008)
HYOU1	rep2_peak_7857 (-1600)
ICE2	rep2_peak_12667 (-14212)
ICK	rep2_peak_34684 (-130)
ICMT	rep2_peak_161 (-4490)
ICOSLG	rep2_peak_25783 (-8681)
ID1	rep2_peak_24551 (-998), rep2_peak_24555 (+3392), rep2_peak_24556 (+5525), rep2_peak_24557 (+7708)
ID2	rep2_peak_20349 (-3077), rep2_peak_20351 (+1606)
ID3	rep2_peak_636 (-2619)
ID4	rep2_peak_33738 (-25753)
IDH1	rep2_peak_23426 (-1020), rep2_peak_23425 (+144)
IER2	rep2_peak_19168 (+12676)
IER3	rep2_peak_34115 (-25210), rep2_peak_34114 (-19239)
IER5	rep2_peak_3025 (+19756), rep2_peak_3026 (+23939)
IFFO1	rep2_peak_8168 (+13629)
IFI35	rep2_peak_16357 (+4240)
IFIT1B	rep2_peak_5307 (-28004), rep2_peak_5310 (-3670)
IFIT3	rep2_peak_5307 (+22158)
IFNGR1	rep2_peak_35533 (-22440), rep2_peak_35532 (-66)
IFNGR2	rep2_peak_25555 (+2126)
IFRD1	rep2_peak_37776 (-27341), rep2_peak_37777 (-5043)
IFT81	rep2_peak_9518 (-14935)
IGDCC3	rep2_peak_12781 (-168)
IGF1R	rep2_peak_13329 (+22369)
IGF2BP2	rep2_peak_29181 (-11874), rep2_peak_29175 (+28268)
IGF2R	rep2_peak_36005 (+10352), rep2_peak_36006 (+28803)
IGFBP1	rep2_peak_36839 (-6220), rep2_peak_36840 (-2713), rep2_peak_36841 (-27), rep2_peak_36846 (+5455)
IGFBP2	rep2_peak_23509 (-17622), rep2_peak_23511 (-13148)
IGFBP3	rep2_peak_36846 (+27439)
IGFBP4	rep2_peak_16225 (-23525)
IGFBPL1	rep2_peak_40391 (-18985), rep2_peak_40389 (-10154)
IGFN1	rep2_peak_3195 (-20114)
IGLL1	rep2_peak_26034 (-24783)
IGSF23	rep2_peak_19765 (-1561), rep2_peak_19767 (+2098)
IHH	rep2_peak_23583 (-20888), rep2_peak_23581 (-10973), rep2_peak_23579 (+1351)
IKZF4	rep2_peak_8840 (+2599), rep2_peak_8841 (+7753)
IL13RA1	rep2_peak_42456 (-457)
IL15RA	rep2_peak_4193 (+8551)
IL17RE	rep2_peak_26901 (-4745), rep2_peak_26903 (-1646)
IL1B	rep2_peak_22245 (+18689)
IL1R1	rep2_peak_22062 (+13378)
IL1RAP	rep2_peak_29328 (-361), rep2_peak_29330 (+21106)
IL1RN	rep2_peak_22252 (+9164)
IL22RA1	rep2_peak_663 (+22706)
IL27	rep2_peak_14128 (-19733), rep2_peak_14126 (+1137)
IL33	rep2_peak_40079 (-2586)
IL4R	rep2_peak_14110 (+9335)
IL6R	rep2_peak_2546 (+13198)
IL7	rep2_peak_39195 (-29138), rep2_peak_39194 (+744)
IL9	rep2_peak_32613 (+26262), rep2_peak_32612 (+26953)
IMPA2	rep2_peak_17968 (-25597), rep2_peak_17975 (+27016)
IMPDH1	rep2_peak_37870 (+12063)
INAVA	rep2_peak_3188 (-2849), rep2_peak_3189 (+2100)
INF2	rep2_peak_12153 (-23377)
INHA	rep2_peak_23610 (+4915)
INHBC	rep2_peak_8909 (-3645)
INHBE	rep2_peak_8912 (-674)
INPP1	rep2_peak_23156 (+9591)
INPP5D	rep2_peak_23800 (+3174)
INSIG2	rep2_peak_22305 (-2959), rep2_peak_22307 (-232), rep2_peak_22308 (+1091)
INSM2	rep2_peak_11097 (+1320)
INTS1	rep2_peak_36236 (-16411), rep2_peak_36235 (-11407)
INTS14	rep2_peak_12788 (+32)
IP6K2	rep2_peak_27515 (-18136)
IPMK	rep2_peak_4809 (+11818), rep2_peak_4808 (+23050)
IPO7	rep2_peak_6216 (-20207)
IPO9	rep2_peak_3206 (+13506)
IPP	rep2_peak_1206 (-2180)
IQGAP2	rep2_peak_31948 (-13331), rep2_peak_31952 (+1164)
IQSEC3	rep2_peak_8056 (+437)
IREB2	rep2_peak_13057 (-15176)
IRF1	rep2_peak_32513 (-14144)
IRF2	rep2_peak_31096 (-157), rep2_peak_31094 (+9612)
IRF2BP1	rep2_peak_19861 (-9480), rep2_peak_19858 (+3256), rep2_peak_19854 (+12217)
IRF2BP2	rep2_peak_3886 (-29886), rep2_peak_3885 (-22340), rep2_peak_3882 (-11752), rep2_peak_3879 (-3173), rep2_peak_3875 (+5477), rep2_peak_3874 (+6638), rep2_peak_3872 (+8828)
IRF2BPL	rep2_peak_11759 (-14874)
IRS1	rep2_peak_23700 (-962)
IRX3	rep2_peak_14515 (+20131), rep2_peak_14514 (+20960)
ISG20	rep2_peak_13179 (+34)
ISL2	rep2_peak_13017 (-23709), rep2_peak_13019 (-199)
ISM1	rep2_peak_24296 (+22254)
ISOC1	rep2_peak_32468 (+484)
IST1	rep2_peak_14869 (+663)
ITGA2	rep2_peak_31583 (+8254), rep2_peak_31585 (+15752)
ITGA2B	rep2_peak_16471 (+19902)
ITGA6	rep2_peak_22931 (-215)
ITGAE	rep2_peak_15472 (-1905)
ITGAL	rep2_peak_14244 (-24957)
ITGAM	rep2_peak_14309 (+22474)
ITGAV	rep2_peak_23121 (+5287)
ITGB2	rep2_peak_25812 (+16064)
ITIH1	rep2_peak_27667 (-2027)
ITIH2	rep2_peak_4202 (-16602), rep2_peak_4204 (-2489), rep2_peak_4206 (+18), rep2_peak_4207 (+4039)
ITIH3	rep2_peak_27671 (+774)
ITLN2	rep2_peak_2685 (+5220)
ITM2B	rep2_peak_10342 (+3581)
ITPA	rep2_peak_24110 (+13658)
ITPRIP	rep2_peak_5698 (-15424)
JADE2	rep2_peak_32574 (-19270)
JAG1	rep2_peak_24263 (+21241)
JAGN1	rep2_peak_26901 (+7529), rep2_peak_26903 (+10628)
JAK1	rep2_peak_1581 (-21237)
JAML	rep2_peak_7819 (+12710), rep2_peak_7818 (+22276), rep2_peak_7817 (+29762)
JARID2	rep2_peak_33663 (+20504)
JPH2	rep2_peak_24882 (-23398)
JUP	rep2_peak_16266 (+620)
KAAG1	rep2_peak_33787 (-26385), rep2_peak_33788 (-15569)
KANK4	rep2_peak_1540 (+19463)
KAT5	rep2_peak_7005 (-16028)
KAT6A	rep2_peak_38933 (+15057)
KCMF1	rep2_peak_21769 (-7221)
KCNE1	rep2_peak_25575 (-11128), rep2_peak_25574 (+9427)
KCNE2	rep2_peak_25572 (+8495)
KCNF1	rep2_peak_20422 (+24471)
KCNH3	rep2_peak_8669 (+11864)
KCNH6	rep2_peak_16974 (-2711), rep2_peak_16975 (+7966)
KCNH7	rep2_peak_22766 (-2198)
KCNJ10	rep2_peak_2672 (+16678), rep2_peak_2670 (+24618)
KCNS1	rep2_peak_24915 (+23374)
KCTD17	rep2_peak_26416 (-27755), rep2_peak_26418 (-18679)
KCTD21	rep2_peak_7399 (+2797)
KCTD6	rep2_peak_27801 (-26255)
KCTD7	rep2_peak_37051 (-17273)
KDF1	rep2_peak_766 (+12033), rep2_peak_765 (+13257), rep2_peak_763 (+16116), rep2_peak_762 (+22040)
KDM2B	rep2_peak_9762 (+29875)
KDM3A	rep2_peak_21819 (+231)
KDM4C	rep2_peak_40096 (+24029)
KDM6B	rep2_peak_15599 (-2926)
KDM7A	rep2_peak_38099 (+1454)
KHDRBS1	rep2_peak_900 (-214)
KHK	rep2_peak_20740 (+9101)
KIAA0232	rep2_peak_29690 (-27389), rep2_peak_29693 (-8341), rep2_peak_29695 (+779)
KIAA0319L	rep2_peak_967 (+1109)
KIAA1217	rep2_peak_4369 (-1224)
KIAA1958	rep2_peak_41127 (+9563), rep2_peak_41129 (+28749)
KIAA2013	rep2_peak_353 (-1734)
KIDINS220	rep2_peak_20358 (-3108)
KIF12	rep2_peak_41187 (-24797), rep2_peak_41185 (-18695), rep2_peak_41180 (+18041)
KIF13A	rep2_peak_33726 (+663)
KIF17	rep2_peak_546 (+28302)
KIF1BP	rep2_peak_4944 (-8)
KIF20B	rep2_peak_5322 (-1776)
KIF22	rep2_peak_14196 (+14865)
KIF26B	rep2_peak_4051 (-525)
KIF2A	rep2_peak_31729 (+16212)
KIF3B	rep2_peak_24589 (-20843), rep2_peak_24591 (-10463), rep2_peak_24593 (+10720), rep2_peak_24594 (+12179)
KIF3C	rep2_peak_20708 (-29869)
KIF4B	rep2_peak_32992 (-4848)
KIF5B	rep2_peak_4499 (-3239)
KIF9	rep2_peak_27464 (+42)
KIFC3	rep2_peak_14603 (+20128)
KISS1	rep2_peak_3267 (+24630)
KIZ	rep2_peak_24425 (+9063)
KLB	rep2_peak_29965 (+22827)
KLF10	rep2_peak_39454 (+2163)
KLF12	rep2_peak_10523 (-29995)
KLF15	rep2_peak_28399 (+1380), rep2_peak_28397 (+15938)
KLF16	rep2_peak_18718 (-7866)
KLF3	rep2_peak_29940 (+3088), rep2_peak_29942 (+9577)
KLF6	rep2_peak_4132 (-25044), rep2_peak_4131 (-1524), rep2_peak_4129 (+1222), rep2_peak_4127 (+19037)
KLF9	rep2_peak_40516 (-27227), rep2_peak_40515 (-5577)
KLHDC1	rep2_peak_11195 (+28811)
KLHDC2	rep2_peak_11197 (+2923)
KLHDC4	rep2_peak_15227 (-23762), rep2_peak_15226 (-13310)
KLHL12	rep2_peak_3243 (-10)
KLHL18	rep2_peak_27464 (-141), rep2_peak_27465 (+18693)
KLHL23	rep2_peak_22861 (-18108), rep2_peak_22862 (-16403), rep2_peak_22863 (-5114), rep2_peak_22865 (+27958)
KLHL3	rep2_peak_32627 (-5847)
KLHL5	rep2_peak_29950 (-18805)
KNOP1	rep2_peak_13969 (-26634)
KPNA3	rep2_peak_10398 (-14939), rep2_peak_10397 (-13424)
KPNA7	rep2_peak_37488 (-5994), rep2_peak_37486 (-2950), rep2_peak_37483 (+16657)
KPNB1	rep2_peak_16556 (-29152)
KPRP	rep2_peak_2506 (-13303)
KRCC1	rep2_peak_21864 (-1054)
KREMEN1	rep2_peak_26195 (+23786)
KRT20	rep2_peak_16237 (-16920)
KRT23	rep2_peak_16243 (-19569)
KRT31	rep2_peak_16249 (-18546), rep2_peak_16248 (-6575)
KRT37	rep2_peak_16249 (+8385), rep2_peak_16248 (+20356)
KRT39	rep2_peak_16243 (+9903)
KRT7	rep2_peak_8743 (+14404)
KRT86	rep2_peak_8743 (-27157)
KRTAP2-3	rep2_peak_16247 (+683)
KRTAP3-1	rep2_peak_16245 (-308)
KRTAP5-11	rep2_peak_7205 (-28873)
KRTAP5-6	rep2_peak_6095 (-23181), rep2_peak_6096 (-21077), rep2_peak_6098 (-7160), rep2_peak_6099 (-5732)
KSR1	rep2_peak_15898 (-13685)
KTI12	rep2_peak_1284 (-3845)
KTN1	rep2_peak_11361 (+19385)
KYAT1	rep2_peak_41506 (+6120), rep2_peak_41505 (+7405)
KYNU	rep2_peak_22558 (-13744), rep2_peak_22561 (-2916), rep2_peak_22562 (-18)
L1TD1	rep2_peak_1536 (+4071)
L3MBTL4	rep2_peak_17870 (-3461)
LACTB	rep2_peak_12711 (-23947), rep2_peak_12713 (-13730)
LAG3	rep2_peak_8177 (+3470)
LAMB1	rep2_peak_37735 (-25039), rep2_peak_37733 (-12004), rep2_peak_37732 (-9460)
LAMB3	rep2_peak_3378 (-22458), rep2_peak_3377 (-2832)
LAMC1	rep2_peak_3062 (+6770)
LAMP2	rep2_peak_42492 (-17643), rep2_peak_42491 (-16702)
LAMTOR2	rep2_peak_2612 (-27)
LAP3	rep2_peak_29818 (-20493), rep2_peak_29819 (-17884)
LAPTM4A	rep2_peak_20568 (-14081)
LAPTM5	rep2_peak_850 (-28973)
LARP1	rep2_peak_32974 (-12162), rep2_peak_32976 (-9270), rep2_peak_32979 (+16918)
LARP4	rep2_peak_8699 (-4156)
LAT2	rep2_peak_37135 (+11646)
LBR	rep2_peak_3657 (-21881), rep2_peak_3656 (-16233)
LBX2	rep2_peak_21674 (+2428), rep2_peak_21673 (+10551), rep2_peak_21671 (+22569)
LCA5	rep2_peak_34887 (+11594)
LCK	rep2_peak_906 (-1037)
LCLAT1	rep2_peak_20819 (+17481)
LCMT1	rep2_peak_14096 (-4535)
LDHD	rep2_peak_14954 (-13219)
LDLR	rep2_peak_19057 (-593), rep2_peak_19061 (+3644), rep2_peak_19062 (+5883)
LDLRAD1	rep2_peak_1335 (+1469)
LEAP2	rep2_peak_32529 (+1173)
LECT2	rep2_peak_32616 (-19411), rep2_peak_32615 (-18552)
LENEP	rep2_peak_2566 (+7411)
LENG8	rep2_peak_20141 (-28412)
LEPROTL1	rep2_peak_38762 (+17729)
LFNG	rep2_peak_36268 (+4309)
LGALS2	rep2_peak_26435 (+16585), rep2_peak_26434 (+18148)
LGALS7	rep2_peak_19610 (+13755)
LGALS8	rep2_peak_3989 (-27444), rep2_peak_3990 (-23533), rep2_peak_3991 (-14964), rep2_peak_3993 (-2609), rep2_peak_3994 (-797)
LGR4	rep2_peak_6457 (-3108), rep2_peak_6454 (+12434)
LGR5	rep2_peak_9066 (-659)
LHPP	rep2_peak_5963 (+9010)
LIAS	rep2_peak_29965 (-28907)
LIMA1	rep2_peak_8694 (+23705)
LIMD1	rep2_peak_27428 (+22807)
LIMK2	rep2_peak_26261 (-28633), rep2_peak_26262 (-28066), rep2_peak_26263 (-26532), rep2_peak_26264 (-24500)
LIN28A	rep2_peak_737 (-23206)
LIN7A	rep2_peak_9150 (+1060)
LINC00116	rep2_peak_22154 (-18899), rep2_peak_22153 (-16627)
LINC00672	rep2_peak_16159 (-9950)
LINC00675	rep2_peak_15676 (+25998)
LIPC	rep2_peak_12616 (+23485), rep2_peak_12617 (+26525)
LIPE	rep2_peak_19722 (-6329)
LIPG	rep2_peak_18331 (+15160)
LITAF	rep2_peak_13773 (-24988), rep2_peak_13769 (+10756), rep2_peak_13768 (+11651)
LMAN2	rep2_peak_33228 (+25666)
LMAN2L	rep2_peak_21924 (+24159)
LMF1	rep2_peak_13449 (-1727)
LMNA	rep2_peak_2616 (-28257), rep2_peak_2621 (+15662)
LMNB2	rep2_peak_18752 (-17760), rep2_peak_18751 (-6241), rep2_peak_18750 (-1225)
LMTK2	rep2_peak_37456 (+3900), rep2_peak_37457 (+24970)
LNX1	rep2_peak_30074 (+9279)
LONRF1	rep2_peak_38481 (+28709)
LOX	rep2_peak_32397 (+2135)
LOXL2	rep2_peak_38639 (-23505)
LOXL4	rep2_peak_5513 (-2301), rep2_peak_5510 (+18947)
LPIN2	rep2_peak_17803 (-25654), rep2_peak_17799 (+25244), rep2_peak_17798 (+26935)
LRCH3	rep2_peak_29505 (+4166)
LRIG1	rep2_peak_27884 (+19659)
LRMDA	rep2_peak_5108 (-25965), rep2_peak_5110 (-1006), rep2_peak_5111 (-134)
LRP1	rep2_peak_8901 (+2607), rep2_peak_8903 (+18600), rep2_peak_8904 (+20439), rep2_peak_8905 (+21572)
LRP11	rep2_peak_35799 (+3101), rep2_peak_35797 (+4447)
LRP5	rep2_peak_7125 (-14282), rep2_peak_7126 (-2830), rep2_peak_7128 (+2722), rep2_peak_7132 (+15893), rep2_peak_7133 (+19117)
LRP6	rep2_peak_8277 (+25639)
LRPAP1	rep2_peak_29618 (-25868), rep2_peak_29617 (-24706)
LRRC1	rep2_peak_34716 (-18618), rep2_peak_34717 (-1572)
LRRC20	rep2_peak_4974 (+29336)
LRRC4	rep2_peak_37861 (+25124)
LRRC40	rep2_peak_1637 (+3)
LRRC52	rep2_peak_2786 (-18194)
LRRC70	rep2_peak_31731 (+10121)
LRRC8D	rep2_peak_1750 (-9993), rep2_peak_1753 (+5704)
LRRFIP1	rep2_peak_23901 (-11064)
LSG1	rep2_peak_29405 (-13472)
LSM14B	rep2_peak_25309 (+12529)
LSM4	rep2_peak_19314 (+3347)
LSR	rep2_peak_19508 (+5291)
LTA4H	rep2_peak_9311 (-12902)
LTBP2	rep2_peak_11686 (-8462)
LTBP4	rep2_peak_19673 (+6673)
LTV1	rep2_peak_35705 (+11901)
LUZP1	rep2_peak_618 (-10036)
LY75	rep2_peak_22716 (-1898)
LYG1	rep2_peak_21963 (+25838)
LYG2	rep2_peak_21963 (-23797)
LYPD1	rep2_peak_22497 (+27607)
LYPD2	rep2_peak_39905 (-10437)
LYST	rep2_peak_3970 (-25984)
LYZ	rep2_peak_9046 (-15346), rep2_peak_9049 (+44)
LYZL1	rep2_peak_4442 (+29455)
LYZL2	rep2_peak_4476 (+23815)
LYZL4	rep2_peak_27373 (-11870)
LYZL6	rep2_peak_16075 (-29908)
LZIC	rep2_peak_306 (+13725), rep2_peak_305 (+28774)
LZTS2	rep2_peak_5581 (+9526)
MAB21L3	rep2_peak_2149 (-5589), rep2_peak_2151 (+11425)
MACC1	rep2_peak_36479 (-2660)
MAD2L2	rep2_peak_346 (+19995)
MAF	rep2_peak_15029 (-1008)
MAFA	rep2_peak_39926 (-19362)
MAFF	rep2_peak_26479 (-14332), rep2_peak_26480 (-8097)
MAFK	rep2_peak_36235 (-14940), rep2_peak_36236 (-9936), rep2_peak_36239 (+6620)
MAG	rep2_peak_19510 (+14123)
MAGEA11	rep2_peak_42651 (+11856)
MAGI1	rep2_peak_27876 (-453)
MAGI2	rep2_peak_37280 (+1320)
MAL2	rep2_peak_39543 (+1197)
MALSU1	rep2_peak_36515 (-6852), rep2_peak_36516 (-5322), rep2_peak_36517 (-4404)
MAML1	rep2_peak_33279 (+22449)
MAML2	rep2_peak_7563 (+10561)
MAN1A1	rep2_peak_35339 (+57), rep2_peak_35338 (+1944), rep2_peak_35337 (+3668)
MANSC1	rep2_peak_8284 (-720)
MAOB	rep2_peak_42097 (+598)
MAP1LC3A	rep2_peak_24702 (-20701)
MAP2K2	rep2_peak_18825 (-23393)
MAP3K20	rep2_peak_22944 (-26948)
MAP4K3	rep2_peak_20942 (-12216)
MAP4K4	rep2_peak_22026 (-452)
MAPK1	rep2_peak_26002 (-15383), rep2_peak_26000 (+9959)
MAPK13	rep2_peak_34298 (+1292)
MAPK3	rep2_peak_14223 (-16771)
MAPK6	rep2_peak_12517 (-10020)
MAPKAPK2	rep2_peak_3341 (+14825)
MAPKAPK3	rep2_peak_27602 (+4)
MARCH3	rep2_peak_32457 (+7750)
MARCKS	rep2_peak_35257 (+1532)
MARCKSL1	rep2_peak_908 (+14439)
MARF1	rep2_peak_13893 (+333), rep2_peak_13892 (+13966)
MARK4	rep2_peak_19814 (+21819)
MARVELD2	rep2_peak_31800 (+22622), rep2_peak_31801 (+29215)
MARVELD3	rep2_peak_14858 (-27560)
MASP1	rep2_peak_29249 (+5060), rep2_peak_29248 (+14960)
MAT1A	rep2_peak_5224 (+7652), rep2_peak_5223 (+16701)
MAZ	rep2_peak_14196 (-1011)
MB21D2	rep2_peak_29349 (+20924)
MBD6	rep2_peak_8917 (-308)
MBL2	rep2_peak_4794 (-3087), rep2_peak_4793 (-69)
MBNL2	rep2_peak_10631 (+22320)
MBNL3	rep2_peak_42589 (+27968)
MBTPS1	rep2_peak_15113 (-22413), rep2_peak_15111 (+20096)
MBTPS2	rep2_peak_41936 (-7935)
MCF2L	rep2_peak_10790 (-17290), rep2_peak_10793 (-12130)
MCFD2	rep2_peak_21163 (+5479)
MCL1	rep2_peak_2453 (-25311), rep2_peak_2448 (+11244)
MCM4	rep2_peak_38994 (+22063)
MCRS1	rep2_peak_8669 (+15418)
MCUR1	rep2_peak_33652 (-14513), rep2_peak_33651 (-3948)
MDC1	rep2_peak_34103 (+22344)
MDK	rep2_peak_6616 (+67)
MDM1	rep2_peak_9024 (-11993), rep2_peak_9023 (-9689)
MDM2	rep2_peak_9030 (-20567), rep2_peak_9033 (-198), rep2_peak_9034 (+684)
MDM4	rep2_peak_3278 (-21767)
ME2	rep2_peak_18365 (+24256)
MEAF6	rep2_peak_1000 (-17979)
MED1	rep2_peak_16169 (-2507)
MED13	rep2_peak_16957 (-25065)
MED17	rep2_peak_7524 (-10994)
MED23	rep2_peak_35455 (-49)
MEF2D	rep2_peak_2643 (+29080)
MEFV	rep2_peak_13567 (-7083)
MEGF9	rep2_peak_41241 (-16361)
MEMO1	rep2_peak_20831 (-439), rep2_peak_20827 (+23525)
MEOX1	rep2_peak_16420 (-5729)
MET	rep2_peak_37799 (-436), rep2_peak_37800 (+14797)
METAP1D	rep2_peak_22917 (+28741)
METTL21A	rep2_peak_23377 (+4628), rep2_peak_23376 (+12666)
METTL24	rep2_peak_35180 (-27387)
METTL2B	rep2_peak_37874 (-12615)
METTL7A	rep2_peak_8721 (+9495), rep2_peak_8722 (+11894)
MEX3A	rep2_peak_2616 (-4452)
MFHAS1	rep2_peak_38402 (+21482)
MFNG	rep2_peak_26428 (-26234), rep2_peak_26427 (-15580)
MFSD2B	rep2_peak_20654 (+5663), rep2_peak_20656 (+12612)
MFSD9	rep2_peak_22070 (+12592)
MGAM2	rep2_peak_38133 (-6754)
MGAT4B	rep2_peak_33282 (-16122)
MGAT5	rep2_peak_22505 (+12428)
MGMT	rep2_peak_5999 (-4744)
MGST2	rep2_peak_30778 (-5020), rep2_peak_30779 (+102), rep2_peak_30781 (+23818), rep2_peak_30782 (+27054)
MICAL2	rep2_peak_6265 (-24598)
MICAL3	rep2_peak_25887 (-20339), rep2_peak_25885 (-16482)
MICU2	rep2_peak_10007 (-12858)
MID1IP1	rep2_peak_42017 (+2287)
MIDN	rep2_peak_18675 (-3491), rep2_peak_18676 (-1903), rep2_peak_18679 (+908), rep2_peak_18681 (+2471), rep2_peak_18682 (+3831)
MIEN1	rep2_peak_16180 (+12)
MIER3	rep2_peak_31664 (-10328)
MIF	rep2_peak_26052 (+27744)
MINDY2	rep2_peak_12631 (-326)
MINK1	rep2_peak_15508 (+24890)
MINOS1	rep2_peak_520 (+22980)
MINPP1	rep2_peak_5289 (-4025)
MISP	rep2_peak_18648 (-12446), rep2_peak_18649 (-11075)
MKL2	rep2_peak_13834 (+16961)
MKLN1	rep2_peak_37940 (-22555)
MLEC	rep2_peak_9733 (+5679)
MLIP	rep2_peak_34729 (-13523)
MLLT1	rep2_peak_18917 (+12175)
MLLT10	rep2_peak_4335 (-28353), rep2_peak_4337 (-8413)
MLLT6	rep2_peak_16140 (-1604), rep2_peak_16141 (+447)
MLNR	rep2_peak_10368 (-5144)
MLXIPL	rep2_peak_37120 (-23506), rep2_peak_37118 (+1444), rep2_peak_37116 (+11628)
MMACHC	rep2_peak_1190 (-1791)
MMD	rep2_peak_16740 (-24918), rep2_peak_16736 (-11352), rep2_peak_16731 (+14116), rep2_peak_16730 (+27310)
MMP11	rep2_peak_26040 (+1584)
MMP15	rep2_peak_14625 (-780)
MMP21	rep2_peak_5982 (-16880)
MMP25	rep2_peak_13548 (-8226)
MMP9	rep2_peak_24949 (+6304)
MNX1	rep2_peak_38295 (-1143), rep2_peak_38292 (+21742)
MOB3A	rep2_peak_18731 (+9032)
MOB4	rep2_peak_23219 (+131)
MOCOS	rep2_peak_18238 (-11193)
MOGAT1	rep2_peak_23620 (-1020)
MOGAT3	rep2_peak_37610 (-199)
MON1A	rep2_peak_27566 (+153)
MPC1	rep2_peak_36068 (-6333), rep2_peak_36067 (-5105), rep2_peak_36063 (+21722)
MPHOSPH10	rep2_peak_21592 (+1471)
MPHOSPH6	rep2_peak_15091 (-161)
MPP1	rep2_peak_42720 (+5595)
MPPED1	rep2_peak_26648 (-17849)
MPRIP	rep2_peak_15758 (-14505)
MPST	rep2_peak_26416 (+4216), rep2_peak_26418 (+13292)
MPV17L	rep2_peak_13880 (+3233)
MRFAP1L1	rep2_peak_29682 (+13985)
MRGPRX3	rep2_peak_6370 (+748)
MRPL1	rep2_peak_30303 (+10730)
MRPL14	rep2_peak_34557 (-29211)
MRPL18	rep2_peak_35999 (+5033)
MRPL20	rep2_peak_52 (+6286)
MRPL33	rep2_peak_20781 (-25233), rep2_peak_20782 (-18843), rep2_peak_20784 (-8285)
MRPL38	rep2_peak_17377 (+310)
MRPL46	rep2_peak_13175 (+1411)
MRPL53	rep2_peak_21674 (-23966), rep2_peak_21673 (-15843), rep2_peak_21671 (-3825)
MRPS18A	rep2_peak_34516 (-17228)
MRPS23	rep2_peak_16795 (-5560), rep2_peak_16794 (-1419), rep2_peak_16792 (+11450)
MRPS27	rep2_peak_31854 (+24498)
MRPS28	rep2_peak_39208 (+3755)
MRPS31	rep2_peak_10228 (-15530), rep2_peak_10227 (-101)
MRPS36	rep2_peak_31792 (+3290)
MRS2	rep2_peak_33790 (-19549), rep2_peak_33791 (-17225), rep2_peak_33792 (-2616)
MRTO4	rep2_peak_507 (-28407)
MS4A2	rep2_peak_6761 (+10017)
MSANTD3-TMEFF1	rep2_peak_40934 (+23204)
MSH5	rep2_peak_34160 (-1211)
MSI2	rep2_peak_16762 (+28783)
MSL1	rep2_peak_16209 (-9293)
MSL2	rep2_peak_28553 (-880)
MSL3	rep2_peak_41856 (-2222)
MSMB	rep2_peak_4701 (-6289), rep2_peak_4700 (-1975), rep2_peak_4699 (+10188), rep2_peak_4697 (+14110)
MSRB1	rep2_peak_13484 (+2583), rep2_peak_13483 (+7797)
MSRB2	rep2_peak_4359 (+4505)
MT2A	rep2_peak_14537 (-1110)
MT3	rep2_peak_14537 (+17721)
MTCL1	rep2_peak_17901 (+13213)
MTERF2	rep2_peak_9437 (+10660), rep2_peak_9436 (+12404)
MTERF4	rep2_peak_23971 (+8749)
MTF2	rep2_peak_1808 (-75)
MTG2	rep2_peak_25311 (-27594)
MTHFD1	rep2_peak_11468 (+22255)
MTHFD1L	rep2_peak_35812 (+643), rep2_peak_35813 (+13038), rep2_peak_35814 (+16684)
MTHFS	rep2_peak_13084 (+10770)
MTMR7	rep2_peak_38526 (+19697)
MTNR1B	rep2_peak_7503 (-21404)
MTOR	rep2_peak_342 (-5308)
MTRF1	rep2_peak_10252 (-26145)
MTRNR2L7	rep2_peak_4598 (-20775)
MTSS1	rep2_peak_39663 (+3797)
MTSS1L	rep2_peak_14833 (+3895)
MTUS1	rep2_peak_38546 (-5429), rep2_peak_38544 (-678)
MUC13	rep2_peak_28362 (-1288)
MUC5B	rep2_peak_6089 (-3035)
MVB12B	rep2_peak_41424 (+8286)
MX2	rep2_peak_25686 (+4848)
MXD1	rep2_peak_21549 (+12246), rep2_peak_21550 (+18968)
MXD3	rep2_peak_33228 (-13877)
MXRA7	rep2_peak_17445 (+19067), rep2_peak_17444 (+22143)
MXRA8	rep2_peak_48 (-1771)
MYADM	rep2_peak_20126 (-26984), rep2_peak_20127 (-4825)
MYBL2	rep2_peak_24875 (-14020)
MYBPC1	rep2_peak_9370 (+13565), rep2_peak_9371 (+21438)
MYBPHL	rep2_peak_2024 (+7552)
