A1BG	rep2_peak_20236 (-82)
SLC7A13	rep2_peak_39272 (-25399), rep2_peak_39271 (-8950), rep2_peak_39270 (-7725), rep2_peak_39269 (-2679), rep2_peak_39268 (+19500), rep2_peak_39267 (+20210)
SLC7A2	rep2_peak_38530 (-13010)
SLC7A5	rep2_peak_15252 (-16154), rep2_peak_15251 (-12374), rep2_peak_15250 (-9340), rep2_peak_15249 (-8620), rep2_peak_15248 (-2216), rep2_peak_15247 (-1243), rep2_peak_15246 (-257), rep2_peak_15245 (+221), rep2_peak_15244 (+7602), rep2_peak_15243 (+8776), rep2_peak_15242 (+10680), rep2_peak_15241 (+11791), rep2_peak_15240 (+12409), rep2_peak_15239 (+13148), rep2_peak_15238 (+14967), rep2_peak_15237 (+15601), rep2_peak_15236 (+19208), rep2_peak_15235 (+21199), rep2_peak_15234 (+26312), rep2_peak_15233 (+27099)
SLC7A6	rep2_peak_14737 (-6392), rep2_peak_14738 (-343), rep2_peak_14739 (+859), rep2_peak_14740 (+13817), rep2_peak_14741 (+17324)
SLC7A6OS	rep2_peak_14742 (-70), rep2_peak_14741 (+29061)
SLC7A7	rep2_peak_10893 (-7168), rep2_peak_10892 (-5583), rep2_peak_10891 (+8109)
SLC7A9	rep2_peak_19434 (+31)
SLC8A2	rep2_peak_19916 (+10849)
SLC8B1	rep2_peak_9587 (-2)
SLC9A1	rep2_peak_784 (-8372), rep2_peak_783 (-265)
SLC9A3	rep2_peak_31202 (-8469)
SLC9A3R1	rep2_peak_17289 (-10142), rep2_peak_17290 (+59), rep2_peak_17291 (+2040), rep2_peak_17292 (+3138), rep2_peak_17293 (+4440), rep2_peak_17294 (+12271), rep2_peak_17295 (+15388), rep2_peak_17296 (+22155)
SLC9A3R2	rep2_peak_13493 (-3541), rep2_peak_13494 (+7508), rep2_peak_13495 (+8978), rep2_peak_13496 (+12870)
SLC9A8	rep2_peak_25069 (-18875), rep2_peak_25070 (-12859), rep2_peak_25071 (+147), rep2_peak_25072 (+18440), rep2_peak_25073 (+20112)
SLC9B1	rep2_peak_30515 (+76)
SLC9B2	rep2_peak_30519 (-18489), rep2_peak_30518 (+438), rep2_peak_30517 (+1260), rep2_peak_30516 (+22558)
SLCO1B1	rep2_peak_8370 (+6300)
SLCO1B3	rep2_peak_8369 (-6927)
SLCO2A1	rep2_peak_28537 (-27903), rep2_peak_28536 (-9623), rep2_peak_28535 (-409)
SLCO2B1	rep2_peak_7300 (+5134), rep2_peak_7301 (+8764), rep2_peak_7302 (+14051), rep2_peak_7303 (+17765)
SLCO4A1	rep2_peak_25333 (-18304), rep2_peak_25334 (-2532), rep2_peak_25335 (-199), rep2_peak_25336 (+9795), rep2_peak_25337 (+24801)
SLCO4C1	rep2_peak_32269 (+126)
SLCO5A1	rep2_peak_39142 (+1710)
SLF1	rep2_peak_32172 (+333)
SLF2	rep2_peak_5572 (-15807), rep2_peak_5573 (-10137), rep2_peak_5574 (+153)
SLFNL1	rep2_peak_1082 (-8150)
SLIRP	rep2_peak_11773 (-14), rep2_peak_11774 (+1563), rep2_peak_11775 (+2511)
SLIT1	rep2_peak_5481 (+28170)
SLITRK3	rep2_peak_28893 (-16749)
SLMAP	rep2_peak_27742 (-8972), rep2_peak_27743 (-1339), rep2_peak_27744 (+14011)
SLTM	rep2_peak_12637 (-269), rep2_peak_12636 (+155)
SLURP1	rep2_peak_39903 (+2902)
SLURP2	rep2_peak_39905 (+6873), rep2_peak_39904 (+16176)
SLX1A	rep2_peak_14225 (-146)
SLX1B	rep2_peak_14177 (-84)
SLX4	rep2_peak_13578 (+12272), rep2_peak_13577 (+14953)
SLX4IP	rep2_peak_24252 (-731), rep2_peak_24253 (-125), rep2_peak_24254 (+28492)
SMAD1	rep2_peak_30833 (-369)
SMAD2	rep2_peak_18291 (-910), rep2_peak_18290 (+217)
SMAD3	rep2_peak_12813 (-16916), rep2_peak_12814 (-7782), rep2_peak_12815 (-6540), rep2_peak_12816 (-3194), rep2_peak_12817 (-1520), rep2_peak_12818 (-591), rep2_peak_12819 (-49), rep2_peak_12820 (+8639), rep2_peak_12821 (+16479)
SMAD4	rep2_peak_18368 (-164), rep2_peak_18369 (+8030)
SMAD5	rep2_peak_32624 (-9336), rep2_peak_32625 (-51), rep2_peak_32626 (+17257)
SMAD6	rep2_peak_12804 (-22333), rep2_peak_12805 (+28)
SMAD7	rep2_peak_18319 (-29386), rep2_peak_18318 (-1598), rep2_peak_18317 (+2153), rep2_peak_18316 (+4031), rep2_peak_18315 (+7901), rep2_peak_18314 (+20332), rep2_peak_18313 (+24008)
SMAGP	rep2_peak_8729 (+606)
SMAP1	rep2_peak_34837 (-15392), rep2_peak_34838 (+48)
SMAP2	rep2_peak_1056 (+920), rep2_peak_1057 (+10562), rep2_peak_1058 (+16416)
SMARCA1	rep2_peak_42554 (-1901), rep2_peak_42553 (-1251), rep2_peak_42552 (-403), rep2_peak_42551 (-13), rep2_peak_42550 (+3053), rep2_peak_42549 (+11442), rep2_peak_42548 (+12869)
SMARCA2	rep2_peak_40027 (-3950)
SMARCA4	rep2_peak_19052 (-21447), rep2_peak_19053 (-6676), rep2_peak_19054 (-389)
SMARCA5	rep2_peak_30825 (+11)
SMARCAD1	rep2_peak_30440 (+359)
SMARCB1	rep2_peak_26040 (-12560), rep2_peak_26041 (-2574), rep2_peak_26042 (-98), rep2_peak_26043 (+2869)
SMARCC1	rep2_peak_27478 (-12864), rep2_peak_27477 (-7325)
SMARCC2	rep2_peak_8859 (-859), rep2_peak_8858 (-266)
SMARCD1	rep2_peak_8682 (-9578), rep2_peak_8683 (-2189), rep2_peak_8684 (+159), rep2_peak_8685 (+17830)
SMARCD2	rep2_peak_16986 (+117)
SMARCE1	rep2_peak_16236 (-254), rep2_peak_16235 (+313)
SMC1A	rep2_peak_42201 (+7)
SMC1B	rep2_peak_26673 (-189)
SMC2	rep2_peak_40959 (-275)
SMC3	rep2_peak_5718 (-377), rep2_peak_5719 (+2267)
SMC4	rep2_peak_28871 (-177), rep2_peak_28872 (+422)
SMC5	rep2_peak_40511 (-403), rep2_peak_40512 (+118), rep2_peak_40513 (+1204)
SMC6	rep2_peak_20528 (+55)
SMCHD1	rep2_peak_17793 (-294)
SMCO3	rep2_peak_8337 (-27786), rep2_peak_8336 (-26656)
SMCO4	rep2_peak_7517 (-27466), rep2_peak_7516 (-9584), rep2_peak_7515 (+27), rep2_peak_7514 (+1356), rep2_peak_7513 (+13162)
SMCR8	rep2_peak_15821 (-122)
SMDT1	rep2_peak_26594 (-77)
SMG1	rep2_peak_13945 (-20013), rep2_peak_13944 (-10710), rep2_peak_13943 (-6059), rep2_peak_13942 (-247), rep2_peak_13941 (+14693)
SMG5	rep2_peak_2631 (-143)
SMG7	rep2_peak_3070 (-2171), rep2_peak_3071 (-1070), rep2_peak_3072 (-526)
SMG8	rep2_peak_16850 (+569)
SMG9	rep2_peak_19747 (-19577), rep2_peak_19746 (+181)
SMIM1	rep2_peak_140 (-1087), rep2_peak_141 (-555), rep2_peak_142 (+3306)
SMIM11A	rep2_peak_25572 (-3085), rep2_peak_25573 (+58)
SMIM11B	rep2_peak_25439 (+115), rep2_peak_25440 (+5033)
SMIM12	rep2_peak_957 (-25), rep2_peak_956 (+6972), rep2_peak_955 (+12641), rep2_peak_954 (+15447)
SMIM13	rep2_peak_33573 (-26488), rep2_peak_33574 (-290)
SMIM14	rep2_peak_29976 (-4041), rep2_peak_29975 (-7), rep2_peak_29974 (+16431)
SMIM15	rep2_peak_31722 (-881), rep2_peak_31721 (+22)
SMIM17	rep2_peak_20185 (-4989)
SMIM18	rep2_peak_38788 (-21938), rep2_peak_38789 (-17871), rep2_peak_38790 (+15370)
SMIM19	rep2_peak_38949 (+467), rep2_peak_38950 (+799)
SMIM2	rep2_peak_10277 (+19274)
SMIM20	rep2_peak_29868 (-5393), rep2_peak_29869 (+112), rep2_peak_29870 (+5666)
SMIM22	rep2_peak_13620 (-19601), rep2_peak_13621 (-13870)
SMIM24	rep2_peak_18805 (-1245), rep2_peak_18804 (-117)
SMIM26	rep2_peak_24384 (+1), rep2_peak_24385 (+17879)
SMIM27	rep2_peak_40223 (-1654), rep2_peak_40224 (-139)
SMIM28	rep2_peak_35583 (+9856)
SMIM29	rep2_peak_34236 (+16), rep2_peak_34235 (+10954)
SMIM3	rep2_peak_32934 (+841)
SMIM30	rep2_peak_37785 (-37)
SMIM4	rep2_peak_27658 (+14)
SMIM7	rep2_peak_19255 (+137)
SMIM8	rep2_peak_34965 (-16)
SMLR1	rep2_peak_35430 (-11926), rep2_peak_35431 (-4482), rep2_peak_35432 (-2205), rep2_peak_35433 (-734), rep2_peak_35434 (-46), rep2_peak_35435 (+7301), rep2_peak_35436 (+26327)
SMN1	rep2_peak_31833 (+11)
SMN2	rep2_peak_31816 (+19)
SMNDC1	rep2_peak_5716 (-49)
SMO	rep2_peak_37886 (-275), rep2_peak_37887 (+12555), rep2_peak_37888 (+28157), rep2_peak_37889 (+29793)
SMOC1	rep2_peak_11596 (-28964), rep2_peak_11597 (-10281), rep2_peak_11598 (-2301), rep2_peak_11599 (-42), rep2_peak_11600 (+980), rep2_peak_11601 (+8688)
SMOX	rep2_peak_24142 (-13243), rep2_peak_24143 (-12153), rep2_peak_24144 (-154), rep2_peak_24145 (+844), rep2_peak_24146 (+19163), rep2_peak_24147 (+22860), rep2_peak_24148 (+23840)
SMPD1	rep2_peak_6170 (-2352), rep2_peak_6171 (-111), rep2_peak_6172 (+11881)
SMPD2	rep2_peak_35167 (+106)
SMPD3	rep2_peak_14745 (+45)
SMPDL3A	rep2_peak_35351 (-392), rep2_peak_35352 (+458), rep2_peak_35353 (+1821), rep2_peak_35354 (+2877), rep2_peak_35355 (+9175)
SMPDL3B	rep2_peak_805 (+8562)
SMPX	rep2_peak_41933 (-12975), rep2_peak_41932 (+10456), rep2_peak_41931 (+17017), rep2_peak_41930 (+23825), rep2_peak_41929 (+29417)
SMS	rep2_peak_41938 (+186)
SMTN	rep2_peak_26252 (-27088), rep2_peak_26253 (-3642), rep2_peak_26254 (-1873), rep2_peak_26255 (+19795)
SMTNL1	rep2_peak_6702 (+10029)
SMU1	rep2_peak_40234 (-4752), rep2_peak_40233 (-25), rep2_peak_40232 (+28443)
SMUG1	rep2_peak_8808 (-25889), rep2_peak_8807 (-2783), rep2_peak_8806 (-63)
SMURF1	rep2_peak_37482 (-29898), rep2_peak_37481 (-26808), rep2_peak_37480 (-18472)
SMURF2	rep2_peak_17022 (-9677), rep2_peak_17021 (-6409)
SMYD1	rep2_peak_21864 (-10997)
SMYD2	rep2_peak_3512 (-19515), rep2_peak_3513 (-357), rep2_peak_3514 (+3729), rep2_peak_3515 (+8830)
SMYD4	rep2_peak_15421 (+19116)
SMYD5	rep2_peak_21635 (-567)
SNAI1	rep2_peak_25082 (-25767), rep2_peak_25083 (-6240), rep2_peak_25084 (-3761), rep2_peak_25085 (-489), rep2_peak_25086 (+117)
SNAI2	rep2_peak_38999 (-613), rep2_peak_38998 (+2657)
SNAI3	rep2_peak_15279 (-14631)
SNAP23	rep2_peak_12399 (-4010), rep2_peak_12400 (+266)
SNAP25	rep2_peak_24243 (+842)
SNAP29	rep2_peak_25958 (-458), rep2_peak_25959 (+26759)
SNAP47	rep2_peak_3711 (-24807), rep2_peak_3712 (-6742), rep2_peak_3713 (+272)
SNAPC1	rep2_peak_11449 (+11)
SNAPC2	rep2_peak_18970 (-1348), rep2_peak_18971 (-32)
SNAPC3	rep2_peak_40153 (-15268), rep2_peak_40154 (+14), rep2_peak_40155 (+5016)
SNAPC4	rep2_peak_41700 (-1499)
SNAPC5	rep2_peak_12802 (-28)
SNAPIN	rep2_peak_2517 (-3169), rep2_peak_2518 (+143)
SND1	rep2_peak_37857 (-263)
SNED1	rep2_peak_23970 (-500)
SNF8	rep2_peak_16586 (-16525), rep2_peak_16585 (-9373), rep2_peak_16584 (+165)
SNIP1	rep2_peak_1002 (+38), rep2_peak_1001 (+19682), rep2_peak_1000 (+21602)
SNN	rep2_peak_13776 (-27965), rep2_peak_13777 (+7339)
SNRNP200	rep2_peak_21914 (-107)
SNRNP25	rep2_peak_13413 (-244)
SNRNP27	rep2_peak_21546 (+352)
SNRNP35	rep2_peak_9847 (-10869), rep2_peak_9848 (-1311), rep2_peak_9849 (+13100)
SNRNP40	rep2_peak_868 (+71)
SNRNP48	rep2_peak_33532 (-28431), rep2_peak_33533 (-9487), rep2_peak_33534 (+58)
SNRNP70	rep2_peak_19993 (+61)
SNRPA	rep2_peak_19679 (+408)
SNRPA1	rep2_peak_13388 (-29453), rep2_peak_13387 (-27)
SNRPB	rep2_peak_24079 (-5313), rep2_peak_24078 (+90)
SNRPB2	rep2_peak_24331 (+49)
SNRPC	rep2_peak_34251 (-25506), rep2_peak_34252 (-11286), rep2_peak_34253 (+53), rep2_peak_34254 (+29994)
SNRPD1	rep2_peak_18040 (-2), rep2_peak_18041 (+26193)
SNRPD2	rep2_peak_19843 (+311), rep2_peak_19842 (+10701)
SNRPD3	rep2_peak_26074 (-29916), rep2_peak_26075 (-23323), rep2_peak_26076 (-5046), rep2_peak_26077 (+377)
SNRPE	rep2_peak_3254 (-71)
SNRPF	rep2_peak_9298 (+36), rep2_peak_9299 (+24185)
SNRPG	rep2_peak_21569 (+160), rep2_peak_21568 (+23957)
SNTB1	rep2_peak_39581 (-26178), rep2_peak_39580 (-14530), rep2_peak_39579 (-2114), rep2_peak_39578 (+1115), rep2_peak_39577 (+3447), rep2_peak_39576 (+4465), rep2_peak_39575 (+27422)
SNTB2	rep2_peak_14768 (-89)
SNTG1	rep2_peak_39000 (-22418), rep2_peak_39001 (-1841), rep2_peak_39002 (+89)
SNU13	rep2_peak_26589 (+11), rep2_peak_26588 (+16624), rep2_peak_26587 (+21984)
SNUPN	rep2_peak_12998 (-16089), rep2_peak_12997 (-15385), rep2_peak_12996 (-14509), rep2_peak_12995 (-63)
SNURF	rep2_peak_12205 (-22900), rep2_peak_12206 (-3754), rep2_peak_12207 (+1302)
SNX1	rep2_peak_12736 (+14)
SNX10	rep2_peak_36572 (-29036), rep2_peak_36573 (+246), rep2_peak_36574 (+1064), rep2_peak_36575 (+13733)
SNX11	rep2_peak_16575 (+120)
SNX13	rep2_peak_36475 (-170)
SNX14	rep2_peak_34956 (-27743), rep2_peak_34955 (-142), rep2_peak_34954 (+160)
SNX15	rep2_peak_6951 (-3054), rep2_peak_6952 (+105)
SNX16	rep2_peak_39250 (+136)
SNX17	rep2_peak_20760 (-128), rep2_peak_20761 (+1212)
SNX2	rep2_peak_32402 (-1169), rep2_peak_32403 (+161)
SNX20	rep2_peak_14427 (+16102)
SNX21	rep2_peak_24931 (-3934), rep2_peak_24932 (-485), rep2_peak_24933 (+351)
SNX22	rep2_peak_12737 (-4520)
SNX24	rep2_peak_32404 (-863), rep2_peak_32405 (-97), rep2_peak_32406 (+313), rep2_peak_32407 (+848), rep2_peak_32408 (+2766)
SNX25	rep2_peak_31123 (-2825), rep2_peak_31124 (-1616), rep2_peak_31125 (+5120)
SNX27	rep2_peak_2491 (-17782), rep2_peak_2492 (-15397), rep2_peak_2493 (-10481), rep2_peak_2494 (-616), rep2_peak_2495 (-122), rep2_peak_2496 (+26495)
SNX3	rep2_peak_35130 (-9543), rep2_peak_35129 (-21)
SNX30	rep2_peak_41132 (-18642), rep2_peak_41133 (-18027), rep2_peak_41134 (-3546), rep2_peak_41135 (-295), rep2_peak_41136 (+777)
SNX31	rep2_peak_39424 (-14076)
SNX32	rep2_peak_7009 (-15224), rep2_peak_7010 (+10710), rep2_peak_7011 (+14302), rep2_peak_7012 (+20726), rep2_peak_7013 (+24611)
SNX33	rep2_peak_12996 (-7709), rep2_peak_12997 (-6833), rep2_peak_12998 (-6129), rep2_peak_12999 (+114), rep2_peak_13000 (+271)
SNX5	rep2_peak_24370 (-16879), rep2_peak_24369 (-4596), rep2_peak_24368 (+67)
SNX7	rep2_peak_1928 (-256), rep2_peak_1929 (+274)
SNX8	rep2_peak_36262 (-19086), rep2_peak_36261 (+10668)
SOAT1	rep2_peak_2990 (+118), rep2_peak_2991 (+856)
SOAT2	rep2_peak_8769 (-3977), rep2_peak_8770 (-970), rep2_peak_8771 (-530), rep2_peak_8772 (-97), rep2_peak_8773 (+651), rep2_peak_8774 (+18959), rep2_peak_8775 (+28503)
SOBP	rep2_peak_35099 (-925), rep2_peak_35100 (+1442), rep2_peak_35101 (+3333)
SOCS1	rep2_peak_13749 (-11274), rep2_peak_13748 (-1336), rep2_peak_13747 (-277), rep2_peak_13746 (+379), rep2_peak_13745 (+20417)
SOCS2	rep2_peak_9248 (-7663), rep2_peak_9249 (-776)
SOCS3	rep2_peak_17519 (-15415), rep2_peak_17518 (-5695), rep2_peak_17517 (-818), rep2_peak_17516 (-76), rep2_peak_17515 (+4733), rep2_peak_17514 (+6909)
SOCS4	rep2_peak_11348 (-47)
SOCS5	rep2_peak_21154 (-41)
SOCS6	rep2_peak_18542 (+2318), rep2_peak_18543 (+7603), rep2_peak_18544 (+24955)
SOCS7	rep2_peak_16120 (-27814), rep2_peak_16121 (-552)
SOD1	rep2_peak_25521 (+169)
SOD2	rep2_peak_35994 (-200), rep2_peak_35993 (+1982)
SOD3	rep2_peak_29851 (-2691)
SOGA1	rep2_peak_24774 (-8548), rep2_peak_24773 (-603)
SORBS1	rep2_peak_5434 (-92), rep2_peak_5433 (+4187), rep2_peak_5432 (+8535), rep2_peak_5431 (+18762), rep2_peak_5430 (+21420)
SORBS2	rep2_peak_31153 (-13150)
SORBS3	rep2_peak_38609 (-6349), rep2_peak_38610 (-2579), rep2_peak_38611 (-1914), rep2_peak_38612 (+2667), rep2_peak_38613 (+4895), rep2_peak_38614 (+6973), rep2_peak_38615 (+10269), rep2_peak_38616 (+22858)
SORD	rep2_peak_12445 (-18902), rep2_peak_12446 (+160), rep2_peak_12447 (+2795), rep2_peak_12448 (+14215)
SORL1	rep2_peak_7909 (-613), rep2_peak_7910 (+182), rep2_peak_7911 (+1603), rep2_peak_7912 (+7514), rep2_peak_7913 (+8965), rep2_peak_7914 (+24339)
SORT1	rep2_peak_2031 (-1518), rep2_peak_2030 (-231), rep2_peak_2029 (+4814), rep2_peak_2028 (+16183), rep2_peak_2027 (+26833)
SOS1	rep2_peak_20936 (-19592), rep2_peak_20935 (-17328), rep2_peak_20934 (-13382), rep2_peak_20933 (-3386), rep2_peak_20932 (-272), rep2_peak_20931 (+682)
SOS2	rep2_peak_11224 (-315)
SOST	rep2_peak_16426 (-13320)
SOSTDC1	rep2_peak_36434 (-26873), rep2_peak_36433 (-25468), rep2_peak_36432 (-19094)
SOX10	rep2_peak_26467 (-28161), rep2_peak_26466 (-23745), rep2_peak_26465 (+2766), rep2_peak_26464 (+15560), rep2_peak_26463 (+28516)
SOX12	rep2_peak_24020 (-1158), rep2_peak_24021 (-304), rep2_peak_24022 (+1699), rep2_peak_24023 (+20137)
SOX13	rep2_peak_3257 (-15715), rep2_peak_3258 (-371), rep2_peak_3259 (+1082), rep2_peak_3260 (+1702), rep2_peak_3261 (+4923), rep2_peak_3262 (+11025), rep2_peak_3263 (+19916), rep2_peak_3264 (+28626)
SOX18	rep2_peak_25399 (-8257), rep2_peak_25398 (-7067), rep2_peak_25397 (-6374), rep2_peak_25396 (-4599), rep2_peak_25395 (-963), rep2_peak_25394 (+8161), rep2_peak_25393 (+13463), rep2_peak_25392 (+25270)
SOX4	rep2_peak_33772 (-3359), rep2_peak_33773 (+727)
SOX5	rep2_peak_8389 (-1344), rep2_peak_8388 (-612), rep2_peak_8387 (-150), rep2_peak_8386 (+7699)
SOX8	rep2_peak_13449 (-9082), rep2_peak_13450 (-553)
SOX9	rep2_peak_17179 (-28095), rep2_peak_17180 (-20362), rep2_peak_17181 (-833), rep2_peak_17182 (-25), rep2_peak_17183 (+2358), rep2_peak_17184 (+4359), rep2_peak_17185 (+4912), rep2_peak_17186 (+5720), rep2_peak_17187 (+22428)
SP1	rep2_peak_8786 (-8771)
SP100	rep2_peak_23737 (-39), rep2_peak_23738 (+8026)
SP110	rep2_peak_23734 (-69)
SP140L	rep2_peak_23735 (-50), rep2_peak_23736 (+29120)
SP2	rep2_peak_16561 (-428)
SP3	rep2_peak_22958 (-1047), rep2_peak_22957 (+83)
SP4	rep2_peak_36485 (-1602), rep2_peak_36486 (-773)
SP5	rep2_peak_22878 (-3902), rep2_peak_22879 (-3139), rep2_peak_22880 (-1615), rep2_peak_22881 (-168), rep2_peak_22882 (+1794), rep2_peak_22883 (+29086)
SP6	rep2_peak_16560 (+131), rep2_peak_16559 (+6840)
SP7	rep2_peak_8785 (+11472)
SP9	rep2_peak_22966 (+2193), rep2_peak_22967 (+5520)
SPA17	rep2_peak_7940 (-73)
SPAAR	rep2_peak_40323 (+5056), rep2_peak_40324 (+10950)
SPACA5	rep2_peak_42141 (-311)
SPACA6	rep2_peak_20066 (-4383)
SPACA9	rep2_peak_41617 (-26477)
SPAG1	rep2_peak_39394 (-374), rep2_peak_39395 (-23), rep2_peak_39396 (+2839)
SPAG16	rep2_peak_23451 (-11)
SPAG4	rep2_peak_24739 (+969), rep2_peak_24740 (+3722)
SPAG5	rep2_peak_15934 (-4355), rep2_peak_15933 (+62)
SPAG7	rep2_peak_15514 (-43)
SPAG8	rep2_peak_40320 (-11), rep2_peak_40319 (+10777)
SPAG9	rep2_peak_16694 (-25549), rep2_peak_16693 (-1100), rep2_peak_16692 (-252), rep2_peak_16691 (+7991), rep2_peak_16690 (+22598), rep2_peak_16689 (+26858)
SPARC	rep2_peak_32954 (-16838), rep2_peak_32953 (-7101)
SPAST	rep2_peak_20833 (-126)
SPATA17	rep2_peak_3545 (-317)
SPATA18	rep2_peak_30054 (+1235)
SPATA2	rep2_peak_25078 (-15110), rep2_peak_25077 (-9336), rep2_peak_25076 (-2899), rep2_peak_25075 (-1929), rep2_peak_25074 (+13962)
SPATA20	rep2_peak_16639 (-8258), rep2_peak_16640 (-5081), rep2_peak_16641 (-4544), rep2_peak_16642 (-3987), rep2_peak_16643 (-14)
SPATA22	rep2_peak_15457 (+6440)
SPATA24	rep2_peak_32673 (+55)
SPATA3	rep2_peak_23745 (-8750), rep2_peak_23746 (+11349)
SPATA32	rep2_peak_16503 (+14447)
SPATA33	rep2_peak_15324 (-26446), rep2_peak_15325 (-16523), rep2_peak_15326 (-169)
SPATA4	rep2_peak_31029 (+119)
SPATA46	rep2_peak_2763 (-29112)
SPATA5	rep2_peak_30662 (-609), rep2_peak_30663 (-23)
SPATA5L1	rep2_peak_12461 (-17532), rep2_peak_12462 (-14754), rep2_peak_12463 (-12186), rep2_peak_12464 (-49)
SPATA6	rep2_peak_1259 (-22371), rep2_peak_1258 (-8044)
SPATA7	rep2_peak_11816 (+151)
SPATA9	rep2_peak_32176 (+12190)
SPATC1	rep2_peak_39957 (-8934), rep2_peak_39958 (-5393), rep2_peak_39959 (+24454), rep2_peak_39960 (+25260)
SPATS2	rep2_peak_8663 (-19546), rep2_peak_8664 (-71), rep2_peak_8665 (+392)
SPATS2L	rep2_peak_23246 (-5749), rep2_peak_23247 (-2669), rep2_peak_23248 (+117), rep2_peak_23249 (+1678), rep2_peak_23250 (+10192), rep2_peak_23251 (+11186), rep2_peak_23252 (+13011)
SPC24	rep2_peak_19067 (-2040), rep2_peak_19066 (+12214), rep2_peak_19065 (+18008), rep2_peak_19064 (+24721), rep2_peak_19063 (+25928)
SPCS1	rep2_peak_27662 (-941), rep2_peak_27663 (+549)
SPCS2	rep2_peak_7297 (-103), rep2_peak_7298 (+27641)
SPDEF	rep2_peak_34242 (-4413)
SPDYC	rep2_peak_6960 (-27918), rep2_peak_6961 (-4129), rep2_peak_6962 (+11139)
SPDYE1	rep2_peak_36803 (+18368), rep2_peak_36804 (+19485), rep2_peak_36805 (+21339)
SPDYE16	rep2_peak_37240 (-18878), rep2_peak_37239 (-7800), rep2_peak_37238 (+21058)
SPDYE3	rep2_peak_37549 (-9066), rep2_peak_37550 (+28022), rep2_peak_37551 (+28527)
SPDYE4	rep2_peak_15655 (+12648)
SPECC1	rep2_peak_15876 (-27087), rep2_peak_15877 (+696)
SPECC1L	rep2_peak_26064 (-6296), rep2_peak_26065 (+377)
SPEF1	rep2_peak_24126 (-53)
SPEN	rep2_peak_427 (-18751), rep2_peak_428 (-15824), rep2_peak_429 (-12779), rep2_peak_430 (-11918), rep2_peak_431 (-334), rep2_peak_432 (+1702)
SPERT	rep2_peak_10310 (+29368)
SPG11	rep2_peak_12426 (-94)
SPG21	rep2_peak_12760 (+445), rep2_peak_12759 (+7878)
SPG7	rep2_peak_15318 (-2806), rep2_peak_15319 (-230)
SPHAR	rep2_peak_3785 (-27267), rep2_peak_3786 (-25418), rep2_peak_3787 (-6199), rep2_peak_3788 (-5504)
SPHK1	rep2_peak_17406 (-22858), rep2_peak_17407 (-16830), rep2_peak_17408 (-8162), rep2_peak_17409 (-2202), rep2_peak_17410 (-762), rep2_peak_17411 (+96), rep2_peak_17412 (+758), rep2_peak_17413 (+1303)
SPHK2	rep2_peak_19961 (+107)
SPIC	rep2_peak_9365 (-15357)
SPICE1	rep2_peak_28206 (+123)
SPIDR	rep2_peak_38978 (+17745)
SPIN1	rep2_peak_40711 (+784), rep2_peak_40712 (+17371)
SPIN2A	rep2_peak_42231 (-13536)
SPIN2B	rep2_peak_42230 (+42)
SPIN3	rep2_peak_42228 (+200)
SPIN4	rep2_peak_42241 (-109)
SPINK1	rep2_peak_32860 (-6429), rep2_peak_32859 (-3715), rep2_peak_32858 (+93), rep2_peak_32857 (+5244)
SPINK14	rep2_peak_32862 (-23643), rep2_peak_32863 (-22179)
SPINK4	rep2_peak_40242 (-10632), rep2_peak_40243 (-87)
SPINK7	rep2_peak_32864 (+8044)
SPINK9	rep2_peak_32864 (-15092)
SPINT1	rep2_peak_12353 (+15353)
SPINT4	rep2_peak_24928 (+2921)
SPIRE2	rep2_peak_15333 (-5835), rep2_peak_15334 (-4552), rep2_peak_15335 (-638), rep2_peak_15336 (+1380), rep2_peak_15337 (+1718), rep2_peak_15338 (+8133), rep2_peak_15339 (+9344), rep2_peak_15340 (+14362)
SPNS1	rep2_peak_14158 (+36)
SPNS2	rep2_peak_15488 (-17312)
SPNS3	rep2_peak_15487 (+20761)
SPOCD1	rep2_peak_893 (-15529), rep2_peak_892 (-70)
SPOCK2	rep2_peak_5025 (-9966), rep2_peak_5024 (-7539), rep2_peak_5023 (+1586), rep2_peak_5022 (+19718)
SPON2	rep2_peak_29539 (+3768)
SPOP	rep2_peak_16615 (-10059), rep2_peak_16614 (+53)
SPOPL	rep2_peak_22541 (-26203), rep2_peak_22542 (-10423), rep2_peak_22543 (-7030), rep2_peak_22544 (-217), rep2_peak_22545 (+246)
SPOUT1	rep2_peak_41504 (-8751), rep2_peak_41503 (+45)
SPPL2A	rep2_peak_12499 (-859), rep2_peak_12498 (+33), rep2_peak_12497 (+539)
SPPL2B	rep2_peak_18743 (-73), rep2_peak_18744 (+2253)
SPPL3	rep2_peak_9737 (-69)
SPR	rep2_peak_21619 (-24638), rep2_peak_21620 (+687), rep2_peak_21621 (+1644), rep2_peak_21622 (+28849)
SPRED1	rep2_peak_12294 (-369)
SPRED2	rep2_peak_21485 (-6222), rep2_peak_21484 (-5723), rep2_peak_21483 (-4458), rep2_peak_21482 (-3670), rep2_peak_21481 (-541), rep2_peak_21480 (+1117)
SPRTN	rep2_peak_3837 (+319)
SPRY1	rep2_peak_30670 (-66), rep2_peak_30671 (+586), rep2_peak_30672 (+2607), rep2_peak_30673 (+15599), rep2_peak_30674 (+16864), rep2_peak_30675 (+19419), rep2_peak_30676 (+21869)
